25ns master table: /dev/CMSSW_7_4_0/HLT/V361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lien Steam Gdoc,,,,,,Lien Steam Gdoc,,,,,,,,,,,,
,,,,,,,L1 prescales,,,,,,,,,,,,HLT prescales,,,,,,,,,,,,Total prescale,,,,,,,,,,,,,,,/frozen/2015/25ns14e33/v3.0/HLT/V1 ,,,,,,/dev/CMSSW_7_4_0/GRun/V106,,,,,,,,,,,,
Path,Group,Scenario,DQM,JIRA,L1 Seed,,14e33,7e33,5e33,3.5e33,2e33,1e33,7e32,5e32,3.5e32,2e32,1e32,,14e33,7e33,5e33,3.5e33,2e33,1e33,7e32,5e32,3.5e32,2e32,1e32,,14e33,7e33,5e33,3.5e33,2e33,1e33,7e32,5e32,3.5e32,2e32,1e32,,Timing at 1.4e34,,,STEAM rates@1.4e34:1471±20Hz,,,,Timing@7e33,,Steam rates at 7e33: 916±14Hz,,,,Remarks,,,,,,,,
AlCa_EcalPhiSym_v2,AlCa,"25ns, 50ns, LowPU",yes,CMSHLT-276,L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,,ms,,±,,Hz,,ms,,±,,Hz,,None,,,,,,,,
AlCa_EcalPi0EEonly_v1,AlCa,"25ns, 50ns",yes,CMSHLT-514,L1_DoubleJetC100 OR L1_DoubleJetC112 OR L1_DoubleJetC120 OR L1_DoubleJetC52 OR L1_DoubleJetC84 OR L1_QuadJetC40 OR L1_QuadJetC60 OR L1_SingleJet128 OR L1_SingleJet36 OR L1_SingleJet52 OR L1_SingleJet68 OR L1_SingleJet92 OR L1_TripleJet_92_76_64_VBF OR L1_DoubleEG_15_10 OR L1_DoubleEG_20_10_1LegIso OR L1_DoubleEG_22_10 OR L1_SingleEG5 OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG20 OR L1_SingleEG25 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleIsoEG25 OR L1_SingleIsoEG25er OR L1_SingleIsoEG28er OR L1_SingleIsoEG30er OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT75,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,,,,,,,,,,,,,,,,,,,,,
AlCa_EcalPi0EBonly_v1,AlCa,"25ns, 50ns",yes,CMSHLT-514,L1_DoubleJetC100 OR L1_DoubleJetC112 OR L1_DoubleJetC120 OR L1_DoubleJetC52 OR L1_DoubleJetC84 OR L1_QuadJetC40 OR L1_QuadJetC60 OR L1_SingleJet128 OR L1_SingleJet36 OR L1_SingleJet52 OR L1_SingleJet68 OR L1_SingleJet92 OR L1_TripleJet_92_76_64_VBF OR L1_DoubleEG_15_10 OR L1_DoubleEG_20_10_1LegIso OR L1_DoubleEG_22_10 OR L1_SingleEG5 OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG20 OR L1_SingleEG25 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleIsoEG25 OR L1_SingleIsoEG25er OR L1_SingleIsoEG28er OR L1_SingleIsoEG30er OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT75,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,,,,,,,,,,,,,,,,,,,,,
AlCa_EcalEtaEBonly_v1,AlCa,"25ns, 50ns",yes,CMSHLT-514,L1_DoubleJetC100 OR L1_DoubleJetC112 OR L1_DoubleJetC120 OR L1_DoubleJetC52 OR L1_DoubleJetC84 OR L1_QuadJetC40 OR L1_QuadJetC60 OR L1_SingleJet128 OR L1_SingleJet36 OR L1_SingleJet52 OR L1_SingleJet68 OR L1_SingleJet92 OR L1_TripleJet_92_76_64_VBF OR L1_DoubleEG_15_10 OR L1_DoubleEG_20_10_1LegIso OR L1_DoubleEG_22_10 OR L1_SingleEG5 OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG20 OR L1_SingleEG25 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleIsoEG25 OR L1_SingleIsoEG25er OR L1_SingleIsoEG28er OR L1_SingleIsoEG30er OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT75,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,,,,,,,,,,,,,,,,,,,,,
AlCa_EcalEtaEEonly_v1,AlCa,"25ns, 50ns",yes,CMSHLT-514,L1_DoubleJetC100 OR L1_DoubleJetC112 OR L1_DoubleJetC120 OR L1_DoubleJetC52 OR L1_DoubleJetC84 OR L1_QuadJetC40 OR L1_QuadJetC60 OR L1_SingleJet128 OR L1_SingleJet36 OR L1_SingleJet52 OR L1_SingleJet68 OR L1_SingleJet92 OR L1_TripleJet_92_76_64_VBF OR L1_DoubleEG_15_10 OR L1_DoubleEG_20_10_1LegIso OR L1_DoubleEG_22_10 OR L1_SingleEG5 OR L1_SingleEG10 OR L1_SingleEG15 OR L1_SingleEG20 OR L1_SingleEG25 OR L1_SingleIsoEG18 OR L1_SingleIsoEG20er OR L1_SingleIsoEG22er OR L1_SingleIsoEG25 OR L1_SingleIsoEG25er OR L1_SingleIsoEG28er OR L1_SingleIsoEG30er OR L1_HTT100 OR L1_HTT125 OR L1_HTT150 OR L1_HTT75,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,,,,,,,,,,,,,,,,,,,,,
AlCa_Ele27_WPVeryLoose_Gsf_v1,AlCa,"25ns, 50ns, LowPU",yes,CMSHLT-366,L1_SingleIsoEG22er OR L1_SingleEG25,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,  1 000,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,,,0,  1 000,,0,,   1,0,group: Egamma,,ms,,±,,Hz,,group: Egamma
AlCa_LumiPixels_Random_v1,AlCa,"25ns, 50ns, LowPU",yes,CMSHLT-239,none,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,,ms,,±,,Hz,,ms,,±,,Hz,,None,,,,,,,,
AlCa_LumiPixels_ZeroBias_v2,AlCa,"25ns, 50ns, LowPU",yes,CMSHLT-239,L1_ZeroBias,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,   13,,,ms,,±,,Hz,,ms,,±,,Hz,,None,,,,,,,,
AlCa_RPCMuonNoHits_v2,AlCa,"25ns, 50ns,",yes,CMSHLT-231,L1_SingleMu5 OR L1_SingleMu14er OR L1_SingleMu16er OR L1_SingleMu20er,,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,   4,,,ms,,±,,Hz,,ms,,±,,Hz,,None,,,,,,,,
